0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label
0.41368,0.40752,0.40782,0.40498,0.40059,0.40596,0.40752,0.40547,0.40469,0.39834,0.40791,0.40586,0.40655,0.41006,0.40616,0.40694,0.40674,0.40918,0.40987,0.41212,0.41114,0.40860,0.40967,0.41143,0.40987,0.40977,0.40889,0.40889,0.40870,0.41026,0.41417,0.41104,0.41466,0.41407,0.41153,0.41153,0.41368,0.41690,0.41085,0.41133,0.38300,0.41817,0.43742,0.45120,0.42267,0.44660,0.44367,0.46663,0.45892,0.46273,0.48100,0.46253,0.46439,0.40352,0.40723,0.42335,0.43996,0.45530,0.42286,0.42042,0.81397,0.47435,0.99511,0.99668,0.97137,0.72340,0.48217,0.48051,0.52379,0.50757,0.44680,0.39873,0.43723,0.48363,0.44201,0.42941,0.99590,0.99814,0.99824,0.99551,0.99687,0.95857,0.99775,0.99736,0.88471,0.44680,0.76229,0.82716,0.70151,0.67562,0.46292,0.37684,0.34929,0.39238,0.98105,0.88129,0.99717,0.99599,0.86370,0.99658,3
0.42237,0.42198,0.42257,0.42335,0.42237,0.42218,0.42237,0.42149,0.42316,0.42228,0.42120,0.42345,0.42237,0.42110,0.42179,0.42267,0.42413,0.42296,0.42267,0.42071,0.42277,0.42120,0.42257,0.42267,0.42159,0.42140,0.42208,0.42101,0.42149,0.42130,0.42482,0.42071,0.42159,0.42247,0.42071,0.42003,0.41964,0.42091,0.42130,0.42130,0.42042,0.42091,0.42091,0.42003,0.42052,0.41915,0.41954,0.42003,0.42091,0.42189,0.42062,0.42169,0.41983,0.42003,0.42022,0.42091,0.42013,0.41983,0.42267,0.42052,0.41983,0.42120,0.42013,0.42140,0.41954,0.41935,0.41866,0.42257,0.42101,0.41974,0.42267,0.42081,0.42101,0.42091,0.42120,0.42140,0.42091,0.42081,0.42618,0.42237,0.42198,0.42364,0.42101,0.42149,0.42052,0.42189,0.42042,0.42052,0.41964,0.42149,0.42257,0.42022,0.42257,0.42159,0.42149,0.42042,0.42355,0.41983,0.41974,0.42149,0
0.40723,0.38925,0.39824,0.40186,0.40762,0.41036,0.42394,0.43449,0.43947,0.43869,0.43957,0.43234,0.42394,0.42179,0.40928,0.39795,0.39638,0.38632,0.40723,0.41612,0.41339,0.51001,0.83273,0.99648,0.86702,0.95017,0.99756,0.99687,0.99580,0.99560,0.99766,0.99629,0.99394,0.99590,0.87797,0.99570,0.99697,0.92135,0.77264,0.80410,0.66058,0.69868,0.76033,0.76102,0.77733,0.62325,0.65491,0.59521,0.97157,0.99873,0.99814,0.99424,0.99609,0.98974,0.86419,0.85931,0.85725,0.99775,0.99785,0.99795,0.99678,0.99883,0.99736,0.99795,0.99844,0.99824,0.99775,0.99609,0.99707,0.99756,0.99756,0.99726,0.99756,0.99736,0.99834,0.99638,0.99805,0.99853,0.99746,0.99736,0.99834,0.72281,0.70718,0.56834,0.54353,0.59873,0.55154,0.64631,0.65335,0.66185,0.66742,0.65296,0.65413,0.65940,0.65901,0.65755,0.65169,0.65110,0.65139,0.65188,2
0.65364,0.64905,0.53884,0.37645,0.39033,0.41925,0.43801,0.53825,0.71353,0.76404,0.40459,0.43674,0.46937,0.68432,0.80430,0.77059,0.72379,0.70601,0.71500,0.70005,0.69956,0.71920,0.72066,0.68754,0.72633,0.73786,0.72604,0.73942,0.71519,0.71842,0.77303,0.75887,0.76365,0.82316,0.97880,0.99629,0.99795,0.99717,0.99668,0.99453,0.89731,0.90552,0.90318,0.91568,0.92604,0.92770,0.92535,0.93454,0.93102,0.93249,0.95310,0.94744,0.92096,0.94187,0.91666,0.95486,0.96541,0.95154,0.94411,0.39902,0.47572,0.32242,0.38437,0.32555,0.29761,0.28696,0.35486,0.35213,0.34958,0.34509,0.38740,0.33473,0.30982,0.30855,0.34958,0.29809,0.30396,0.34538,0.31529,0.33825,0.33151,0.34050,0.35613,0.34998,0.35535,0.35721,0.35359,0.35642,0.35486,0.35662,0.36375,0.36043,0.36219,0.36268,0.36121,0.36111,0.36004,0.35877,0.35896,0.36297,2
0.34919,0.35711,0.36424,0.33454,0.38349,0.40479,0.41759,0.39072,0.39551,0.43097,0.48490,0.51900,0.60733,0.66224,0.67181,0.68725,0.72018,0.76414,0.75867,0.75945,0.79814,0.73913,0.71900,0.70660,0.72360,0.73737,0.80039,0.80840,0.81612,0.81661,0.81690,0.78124,0.69370,0.77430,0.81436,0.81299,0.80449,0.80733,0.79853,0.82335,0.83400,0.91334,0.92887,0.91715,0.91910,0.92858,0.91578,0.90943,0.88950,0.91578,0.91187,0.91568,0.92096,0.91998,0.92711,0.92838,0.91959,0.92281,0.91969,0.92643,0.92741,0.92916,0.91793,0.93639,0.91187,0.90386,0.88686,0.84817,0.78788,0.80987,0.77821,0.36991,0.47171,0.64807,0.86478,0.84319,0.85638,0.85032,0.85442,0.85149,0.85667,0.84973,0.85452,0.85442,0.85208,0.82970,0.84944,0.85159,0.84885,0.85120,0.85364,0.84797,0.84709,0.84582,0.85129,0.85344,0.85129,0.84660,0.85178,0.84954,2
0.83732,0.83039,0.83410,0.81993,0.73512,0.75203,0.69116,0.60332,0.63664,0.67572,0.77157,0.59844,0.77499,0.75359,0.78642,0.78271,0.77860,0.70181,0.76512,0.62697,0.62052,0.60430,0.56659,0.56952,0.63713,0.68832,0.68793,0.67562,0.66751,0.65696,0.75975,0.65120,0.65471,0.62618,0.60342,0.65540,0.63019,0.68852,0.69213,0.78202,0.99824,0.99599,0.80225,0.82501,0.85471,0.82247,0.81329,0.80772,0.91461,0.86663,0.99502,0.99697,0.99590,0.83136,0.85100,0.88451,0.88705,0.88832,0.90503,0.89839,0.91334,0.90034,0.91734,0.92272,0.92809,0.94138,0.93845,0.93952,0.94323,0.94392,0.94704,0.94362,0.94792,0.94958,0.94744,0.95271,0.94998,0.94284,0.94255,0.93962,0.93122,0.92633,0.89858,0.83254,0.89448,0.78857,0.75281,0.99736,0.99883,0.99746,0.99775,0.99570,0.99638,0.99795,0.99697,0.99756,0.99609,0.99678,0.99551,0.99707,2
0.99638,0.99922,0.99551,0.99590,0.99521,0.99775,0.99629,0.99785,0.99570,0.99580,0.99805,0.99658,0.99687,0.99707,0.99873,0.99424,0.99551,0.99668,0.99746,0.99766,0.99805,0.99756,0.99863,0.99824,0.99912,0.99805,0.99629,0.99795,0.99766,0.99775,0.99717,0.99756,0.99795,0.99805,0.99697,0.99824,0.99746,0.99687,0.99756,0.99785,0.99785,0.99472,0.99551,0.99629,0.99805,0.99697,0.99707,0.93444,0.92301,0.92027,0.91060,0.91422,0.92389,0.92379,0.92223,0.92223,0.92584,0.93444,0.92975,0.92731,0.92584,0.93376,0.92106,0.92203,0.92350,0.92125,0.91021,0.92780,0.88510,0.86214,0.78701,0.59629,0.74148,0.99785,0.99766,0.99170,0.98828,0.89673,0.98319,0.97303,0.99472,0.95300,0.96746,0.96561,0.98075,0.97430,0.97450,0.97606,0.96248,0.97430,0.94753,0.92741,0.97899,0.97616,0.97088,0.97040,0.96727,0.97303,0.97460,0.99043,2
0.99922,0.99766,0.99648,0.99277,0.99678,0.99492,0.99648,0.99521,0.99648,0.99658,0.99404,0.99482,0.99766,0.99736,0.99482,0.99560,0.99472,0.99638,0.99502,0.99726,0.99316,0.99717,0.99482,0.99443,0.99736,0.99775,0.99492,0.99648,0.99687,0.99424,0.99736,0.99433,0.99678,0.99707,0.99619,0.99736,0.99482,0.99365,0.99590,0.99726,0.99707,0.99590,0.99443,0.99707,0.99424,0.99668,0.99453,0.99668,0.99551,0.99570,0.99570,0.99658,0.99453,0.99746,0.99511,0.99531,0.99668,0.99531,0.99580,0.99638,0.99609,0.99521,0.99668,0.99384,0.99658,0.99570,0.99492,0.99541,0.99717,0.99590,0.99638,0.99472,0.99511,0.99707,0.99424,0.99707,0.99717,0.99492,0.99551,0.99746,0.99355,0.99736,0.99629,0.99736,0.99687,0.99472,0.99668,0.99414,0.99648,0.99668,0.99668,0.99599,0.99629,0.99609,0.99717,0.99541,0.99599,0.99619,0.99062,0.99521,0
0.99717,0.99609,0.99668,0.99658,0.99853,0.99648,0.99629,0.99717,0.99541,0.99502,0.99707,0.99531,0.99697,0.99668,0.99248,0.99746,0.99599,0.99424,0.99580,0.99560,0.99746,0.99511,0.99629,0.99511,0.99609,0.99599,0.99531,0.99678,0.99619,0.99629,0.99384,0.99687,0.99541,0.99531,0.99463,0.99463,0.99590,0.99648,0.99521,0.99668,0.99443,0.99541,0.99619,0.99511,0.99766,0.99697,0.99619,0.99687,0.99560,0.99658,0.99629,0.99580,0.99648,0.99707,0.99638,0.99619,0.99648,0.99648,0.99638,0.99726,0.99726,0.99795,0.99658,0.99443,0.99599,0.99717,0.99492,0.99746,0.99590,0.99580,0.99560,0.99717,0.99463,0.99590,0.99668,0.99678,0.99629,0.99697,0.99463,0.99609,0.99541,0.99785,0.99306,0.99707,0.99551,0.99658,0.99463,0.99648,0.99492,0.99443,0.99629,0.99521,0.99638,0.99463,0.99736,0.99619,0.99648,0.99511,0.99678,0.99570,1
0.99619,0.99668,0.99795,0.99756,0.99814,0.99619,0.99736,0.99511,0.99629,0.99746,0.99629,0.99609,0.99326,0.99482,0.99678,0.99384,0.99668,0.99678,0.99560,0.99551,0.99472,0.99736,0.99648,0.99443,0.99775,0.99492,0.99638,0.99590,0.99531,0.99531,0.99424,0.58740,0.89516,0.97743,0.93757,0.98593,0.97860,0.99404,0.93083,0.96043,0.93503,0.92340,0.95809,0.82101,0.92135,0.89233,0.97303,0.97733,0.99717,0.99775,0.99629,0.99541,0.99805,0.99648,0.99648,0.99853,0.99599,0.99883,0.99873,0.99863,0.99648,0.99736,0.99570,0.99824,0.84279,0.91568,0.70318,0.78603,0.45247,0.99580,0.98915,0.99707,0.99707,0.99717,0.99844,0.99853,0.99658,0.99687,0.99766,0.99668,0.99795,0.99678,0.99560,0.90630,0.92516,0.97489,0.87611,0.89340,0.90855,0.76619,0.99511,0.91812,0.93200,0.98202,0.99707,0.99541,0.99766,0.99756,0.99726,0.99902,3
